Date,Open,High,Low,Close,Adj Close,Volume,,End,Daily Return,Cummulative Return,% Change
9/4/1968,99.32,100.489998,98.949997,100.019997,100.019997,10040000,,,1.007047896,1.366393458,0.366393458
9/5/1968,100.019997,101.339996,99.629997,100.739998,100.739998,12980000,,,1.007198571,1.376229537,0.376229537
9/6/1968,100.739998,101.879997,100.230003,101.199997,101.199997,13180000,,,1.0045662,1.382513677,0.382513677
9/9/1968,101.199997,102.089996,100.470001,101.230003,101.230003,11890000,,,1.000296502,1.382923595,0.382923595
9/10/1968,101.230003,101.809998,100.120003,100.730003,100.730003,11430000,,,0.995060753,1.376092994,0.376092994
9/12/1968,100.730003,101.400002,99.699997,100.519997,100.519997,14630000,,,0.997915159,1.373224059,0.373224059
9/13/1968,100.519997,101.529999,99.889999,100.860001,100.860001,13070000,,,1.003382451,1.377868923,0.377868923
9/16/1968,100.860001,102.010002,100.330002,101.239998,101.239998,13260000,,,1.003767569,1.383060139,0.383060139
9/17/1968,101.239998,102.18,100.639999,101.5,101.5,13920000,,,1.002568175,1.386612079,0.386612079
9/19/1968,101.5,102.529999,100.839996,101.589996,101.589996,17910000,,,1.00088666,1.387841532,0.387841532
9/20/1968,101.589996,102.370003,100.809998,101.660004,101.660004,14190000,,,1.000689123,1.388797926,0.388797926
9/23/1968,101.660004,102.82,101.199997,102.239998,102.239998,11550000,,,1.005705233,1.396721341,0.396721341
9/24/1968,102.239998,103.209999,101.589996,102.589996,102.589996,15210000,,,1.003423298,1.401502735,0.401502735
9/26/1968,102.589996,103.629997,101.589996,102.360001,102.360001,18950000,,,0.997758115,1.398360727,0.398360727
9/27/1968,102.360001,103.07,101.360001,102.309998,102.309998,13860000,,,0.999511499,1.397677626,0.397677626
9/30/1968,102.309998,103.290001,101.709999,102.669998,102.669998,13610000,,,1.003518718,1.402595659,0.402595659
10/1/1968,102.669998,103.580002,101.800003,102.860001,102.860001,15560000,,,1.001850619,1.405191328,0.405191328
10/3/1968,102.860001,104.129997,102.339996,103.220001,103.220001,21110000,,,1.003499903,1.410109361,0.410109361
10/4/1968,103.220001,104.349998,102.650002,103.709999,103.709999,15350000,,,1.004747123,1.416803323,0.416803323
10/7/1968,103.709999,104.400002,102.93,103.699997,103.699997,12420000,,,0.999903558,1.416666684,0.416666684
10/8/1968,103.699997,104.449997,102.839996,103.739998,103.739998,14000000,,,1.000385738,1.417213146,0.417213146
10/10/1968,103.739998,104.300003,102.610001,103.290001,103.290001,17000000,,,0.995662261,1.411065645,0.411065645
10/11/1968,103.290001,103.900002,102.389999,103.18,103.18,12650000,,,0.998935028,1.409562899,0.409562899
10/14/1968,103.18,104.029999,102.480003,103.32,103.32,11980000,,,1.001356852,1.411475468,0.411475468
10/15/1968,103.32,104.25,102.660004,103.529999,103.529999,13410000,,,1.002032511,1.414344307,0.414344307
10/17/1968,103.809998,105.010002,103.809998,104.010002,104.010002,21060000,,,1.004636366,1.420901725,0.420901725
10/18/1968,104.010002,105.339996,103.540001,104.82,104.82,15130000,,,1.007787693,1.431967272,0.431967272
10/21/1968,104.82,105.779999,104.089996,104.989998,104.989998,14380000,,,1.001621809,1.434289649,0.434289649
10/22/1968,104.989998,105.480003,103.839996,104.57,104.57,13970000,,,0.995999638,1.428551971,0.428551971
10/24/1968,104.57,105.150002,103.150002,103.839996,103.839996,18300000,,,0.993018992,1.418579238,0.418579238
10/25/1968,103.839996,104.809998,103.139999,104.199997,104.199997,14150000,,,1.003466882,1.423497285,0.423497285
10/28/1968,104.199997,104.889999,103.160004,103.900002,103.900002,11740000,,,0.997120969,1.419398993,0.419398993
10/29/1968,103.900002,104.5,102.650002,103.300003,103.300003,12340000,,,0.994225226,1.411202285,0.411202285
10/31/1968,103.300003,104.57,102.43,103.410004,103.410004,17650000,,,1.001064869,1.412705031,0.412705031
11/1/1968,103.410004,104.300003,102.360001,103.059998,103.059998,14480000,,,0.996615356,1.407923528,0.407923528
11/4/1968,103.059998,103.690002,101.849998,103.099998,103.099998,10930000,,,1.000388123,1.408469976,0.408469976
11/6/1968,103.099998,104.410004,102.449997,103.269997,103.269997,12640000,,,1.001648875,1.410792367,0.410792367
11/7/1968,103.269997,104.470001,102.309998,103.5,103.5,11660000,,,1.002227201,1.413934484,0.413934484
11/8/1968,103.5,104.589996,102.959999,103.949997,103.949997,14250000,,,1.004347797,1.420081984,0.420081984
11/12/1968,103.949997,105.279999,103.510002,104.620003,104.620003,17250000,,,1.006445464,1.429235072,0.429235072
11/13/1968,104.620003,105.760002,104.080002,105.129997,105.129997,15660000,,,1.004874727,1.436202204,0.436202204
11/14/1968,105.129997,106.010002,104.339996,105.199997,105.199997,14900000,,,1.000665842,1.437158488,0.437158488
11/15/1968,105.199997,106.440002,104.610001,105.779999,105.779999,15040000,,,1.005513327,1.445082013,0.445082013
11/18/1968,105.779999,106.739998,105.050003,105.919998,105.919998,14390000,,,1.001323492,1.446994567,0.446994567
11/19/1968,105.919998,106.839996,105.059998,106.139999,106.139999,15120000,,,1.002077049,1.450000046,0.450000046
11/21/1968,106.139999,106.769997,104.849998,105.970001,105.970001,18320000,,,0.998398361,1.447677669,0.447677669
11/22/1968,105.970001,106.889999,105.209999,106.300003,106.300003,15420000,,,1.003114108,1.452185893,0.452185893
11/25/1968,106.300003,107.290001,105.470001,106.480003,106.480003,14490000,,,1.001693321,1.454644909,0.454644909
11/26/1968,106.480003,107.93,106.110001,107.260002,107.260002,16360000,,,1.00732531,1.465300634,0.465300634
11/27/1968,107.260002,108.550003,106.589996,107.760002,107.760002,16550000,1,,1.00466157,1.472131235,0.472131235
11/29/1968,107.760002,109.089996,107.32,108.370003,108.370003,14390000,,1,1.005660737,1,0
12/2/1968,108.370003,109.370003,107.150002,108.120003,108.120003,15390000,,,0.997693089,0.997693089,-0.002306911
12/3/1968,108.120003,108.739998,107.019997,108.019997,108.019997,15460000,,,0.999075046,0.996770269,-0.003229731
12/5/1968,108.019997,108.900002,106.709999,107.669998,107.669998,19330000,,,0.996759868,0.993540602,-0.006459398
12/6/1968,107.669998,108.910004,106.849998,107.93,107.93,15320000,,,1.002414805,0.995939808,-0.004060192
12/9/1968,107.93,108.769997,106.889999,107.660004,107.660004,15800000,,,0.997498416,0.993448381,-0.006551619
12/10/1968,107.660004,108.330002,106.68,107.389999,107.389999,14500000,,,0.997492058,0.99095687,-0.00904313
12/12/1968,107.389999,108.43,106.330002,107.32,107.32,18160000,,,0.99934818,0.990310944,-0.009689056
12/13/1968,107.32,108.5,106.559998,107.580002,107.580002,16740000,,,1.00242268,0.992710151,-0.007289849
12/16/1968,107.580002,108.400002,106.400002,107.099998,107.099998,15950000,,,0.995538167,0.988280844,-0.011719156
12/17/1968,107.099998,107.650002,105.860001,106.660004,106.660004,14700000,,,0.995891746,0.984220735,-0.015779265
12/19/1968,106.660004,107.669998,105.099998,106.970001,106.970001,19630000,,,1.002906403,0.987081277,-0.012918723
12/20/1968,106.970001,107.980003,105.730003,106.339996,106.339996,15910000,,,0.994110452,0.981267814,-0.018732186
12/23/1968,106.339996,106.68,104.610001,105.209999,105.209999,12970000,,,0.989373735,0.970840602,-0.029159398
12/24/1968,105.209999,105.949997,104.370003,105.040001,105.040001,11540000,,,0.998384203,0.969271921,-0.030728079
12/26/1968,105.040001,106.029999,104.290001,105.150002,105.150002,9670000,,,1.00104723,0.970286971,-0.029713029
12/27/1968,105.150002,105.870003,104.199997,104.739998,104.739998,11200000,,,0.99610077,0.9665036,-0.0334964
12/30/1968,104.739998,104.989998,103.089996,103.800003,103.800003,12080000,,,0.991025444,0.957829659,-0.042170341
12/31/1968,103.800003,104.610001,102.980003,103.860001,103.860001,13130000,,,1.000578015,0.958383299,-0.041616701
1/2/1969,103.860001,104.849998,103.209999,103.93,103.93,9800000,,,1.000673975,0.959029225,-0.040970775
1/3/1969,103.93,104.870003,103.169998,103.989998,103.989998,12750000,,,1.000577292,0.959582865,-0.040417135
1/6/1969,103.989998,104.360001,101.940002,102.470001,102.470001,12720000,,,0.985383238,0.945556871,-0.054443129
1/7/1969,102.470001,102.68,100.150002,101.220001,101.220001,15740000,,,0.987801308,0.934022314,-0.065977686
1/8/1969,101.220001,102.120003,100.139999,100.800003,100.800003,13840000,,,0.995850642,0.930146722,-0.069853278
